spp,rec
Amazona brasiliensis,39
Amazona rhodocorytha,108
Anabacerthia amaurotis,187
Anabacerthia lichtensteini,343
Anabazenops fuscus,257
Arremon semitorquatus,186
Automolus lammi,22
Buteogallus lacernulatus,136
Campephilus robustus,534
Carpornis cucullata,259
Cichlocolaptes leucophrus,224
Conopophaga cearae,36
Cotinga maculata,29
Cranioleuca pallida,401
Drymophila ferruginea,397
Drymophila genei,76
Drymophila ochropyga,289
Drymophila rubricollis,214
Dysithamnus xanthopterus,96
Glaucis dohrnii,27
Haplospiza unicolor,403
Heliobletus contaminatus,330
Hemitriccus obsoletus,155
Hemitriccus orbitatus,317
Hypoedaleus guttatus,104
Ilicura militaris,399
Jacamaralcyon tridactyla,69
Leptodon forbesi,27
Lipaugus lanioides,143
Merulaxis ater,117
Mionectes rufiventris,610
Myrmoderus loricatus,155
Myrmotherula unicolor,174
Myrmotherula urosticta,73
Neopelma aurifrons,64
Neopelma chrysolophum,140
Notharchus swainsoni,144
Odontophorus capueira,416
Onychorhynchus swainsoni,46
Phacellodomus erythrophthalmus,197
Phaethornis idaliae,57
Philydor atricapillus,385
Phyllomyias virescens,311
Phylloscartes beckeri,23
Phylloscartes difficilis,100
Phylloscartes oustaleti,145
Phylloscartes paulista,114
Phylloscartes sylviolus,99
Piculus aurulentus,438
Picumnus temminckii,579
Piprites pileata,88
Platyrinchus leucoryphus,96
Pseudastur polionotus,174
Pteroglossus bailloni,245
Pyriglena atra,26
Pyrrhura cruentata,69
Ramphodon naevius,228
Rhopias gularis,273
Saltator fuliginosus,375
Saltator maxillosus,204
Schiffornis virescens,820
Sclerurus scansor,507
Scytalopus pachecoi,62
Scytalopus speluncae,255
Terenura maculata,277
Thamnophilus ambiguus,235
Thlypopsis pyrrhocoma,296
Tinamus solitarius,315
Touit melanonotus,79
Touit surdus,89
Xipholena atropurpurea,58
